hst_idx,total,cos,shad,hst_abs,block,atm,spil,rec_refl,rec_abs
104,100011,10144.415763,0,4493.32921185,21764.28422515,0,11.6708,6359.7,57237.6
105,100001,18852.788526,0,4057.4105737,-333.999099699991,0,23622.2,5380.2,48422.4
106,100001,18847.988478,0,4057.6505761,-149.6390541,0,22572.6,5467.3,49205.1
107,100001,18986.389862,0,4050.7305069,-184.120368899996,0,23373.5,5377.5,48397
108,100001,18990.689905,0,4050.51550475,-832.705409750008,0,23817.8,5397.5,48577.2
109,100001,19669.896697,0,4016.55516515,1659.74813785,0,15458.7,5919.6,53276.5
110,100001,19669.596694,0,4016.5701653,-569.666859300007,0,15014.2,6187,55683.3
111,100004,17498.299904,0,4125.2850048,-217.384908799999,0,12273.1,6632.39999999999,59692.3
112,100004,17480.899208,0,4126.1550396,-445.754247600009,0,13034.3,6580.8,59227.6
113,100001,18933.089329,0,4053.39553355,1520.81513745,0,22704,5279,47510.7
114,100001,18934.889347,0,4053.30553265,-132.894879650004,0,23172.7,5397.3,48575.7
115,100002,19520.89041,0,4024.0554795,432.454110499995,0,13881.8,6214.3,55928.5
116,100002,19516.090314,0,4024.2954843,-183.485798300004,0,14835.1,6181,55629
117,100001,19614.296141,0,4019.33519295,-509.431333950008,0,18076.8,5880,52920
118,100001,19612.496123,0,4019.42519385,782.378683149989,0,18163.6,5742.3,51680.8
119,100001,19391.593914,0,4030.4703043,3747.3357817,0,13370.5,5946.1,53515
120,100001,19387.19387,0,4030.6903065,3891.21582349999,0,12373.6,6031.8,54286.5
121,100001,19396.493963,0,4030.22530185,-361.719264850006,0,19276.7,5765.9,51893.4
122,100001,19390.993908,0,4030.5003046,1464.70578739999,0,19688,5542.7,49884.1
123,100002,19257.485142,0,4037.2257429,-527.210884900007,0,13870.1,6336.4,57028
124,100002,19263.685266,0,4036.9157367,1811.3989973,0,12870.1,6202,55817.9
125,100001,18823.18823,0,4058.8905885,-674.178818500004,0,22662.3,5513.10000000001,49617.7
126,100001,18823.988238,0,4058.8505881,-595.738826100009,0,23766.9,5394.7,48552.3
127,100001,18807.788076,0,4059.6605962,-1729.0486722,0,24365.9,5449.7,49047
128,100001,18806.888067,0,4059.70559665,87.5063363500012,0,23029.4,5401.8,48615.7
129,100001,18806.588064,0,4059.7205968,433.091339199993,0,22261.8,5444,48995.8
130,100003,18249.447467,0,4087.67762665,7383.53490634999,0,7225.04,6305.8,56751.5
131,100003,18249.947482,0,4087.6526259,2812.16989209998,0,8081.13,6677.2,60094.9
132,100001,19073.590734,0,4046.3704633,343.138802699999,0,20808.3,5573,50156.6
133,100001,19072.790726,0,4046.4104637,-1786.40118969999,0,20913.5,5775.5,51979.2
134,100004,17811.912448,0,4109.6043776,-299.2168256,0,10862.7,6751.9,60767.1
135,100004,17804.71216,0,4109.964392,-790.176552000004,0,10318.4,6856.10000000001,61705
136,100001,19655.19655,0,4017.2901725,-291.986722499991,0,16632.8,5998.8,53988.9
137,100001,19663.796636,0,4016.8601682,545.543195799997,0,16590.8,5918.4,53265.6
138,100019,9688.540473,0,4516.52297635,938.236550649977,0,13458.1,7141.8,64275.8
139,100019,9682.739371,0,4516.81303145,802.947597549995,0,13702.5,7131.4,64182.6
140,100001,19378.19378,0,4031.140311,3015.76590899999,0,15960.5,5761.5,51853.9
141,100001,19374.093739,0,4031.34531305,1255.96094795,0,16764,5857.6,52718
142,100002,18997.279938,0,4050.2360031,366.384058899996,0,11833.6,6475.4,58279.1
143,100002,18995.979912,0,4050.3010044,-1041.38091640001,0,13343.5,6465.4,58188.2
144,100001,18802.288021,0,4059.93559895,-794.323619950002,0,19582.5,5835.1,52515.5
145,100001,18802.18802,0,4059.940599,-1890.22861900001,0,20034.5,5899.5,53095.1
146,100003,18127.043795,0,4093.79781025,1608.62839474999,0,8873.53,6730,60570
147,100003,18130.843909,0,4093.60780455,-349.391713549994,0,9187.54,6894.09999999999,62046.3
148,100001,19011.290111,0,4049.48549445,685.324394549993,0,17535.5,5871.9,52847.5
149,100001,19013.990138,0,4049.3504931,-1693.24063110002,0,18105.3,6052.6,54473
150,100007,15378.176397,0,4231.44118015,-1978.94757715001,0,7971.73,7440.40000000001,66964.2
151,100007,15367.07562,0,4231.996219,1147.77816099999,0,8392.95,7086.7,63780.5
152,100001,19160.291601,0,4042.03541995,-466.427020950003,0,16587.9,6067.7,54609.5
153,100001,19159.091589,0,4042.09542055,-439.88700955001,0,15736.8,6150.3,55352.6
154,100001,17356.273561,0,4132.23632195,8785.51011705001,0,6800.08,6292.7,56634.2
155,100001,17353.973538,0,4132.3513231,11412.4651389,0,6754.71,6034.7,54312.8
156,100001,18850.388502,0,4057.53057490001,-14.4190768999979,0,17121.6,5998.6,53987.3
157,100001,18851.888517,0,4057.45557415,-1412.54409115001,0,16852.4,6165.2,55486.6
158,100001,19401.994018,0,4029.9502991,2501.35568289999,0,14333.3,5973.4,53761
159,100001,19392.593924,0,4030.4203038,-941.9142278,0,15419.3,6210.1,55890.5
160,100001,19195.391952,0,4040.2804024,915.027645599992,0,17946.1,5790.5,52113.7
161,100001,19197.391972,0,4040.1804014,1308.62762659998,0,17931.5,5752.4,51770.9
162,100002,19112.182236,0,4044.4908882,1730.72687580001,0,11409.1,6370.5,57335
163,100002,19126.282518,0,4043.7858741,164.3316079,0,11812.4,6485.5,58369.7
164,100001,18510.985108,0,4074.5007446,593.914147399984,0,20429.9,5639.2,50752.5
165,100001,18511.885117,0,4074.45574415,879.459138849998,0,18386.1,5814.9,52334.2
166,100005,13092.85461,0,4345.6072695,18101.4611205,0,250.077,6421.5,57793.5
167,100005,13093.154625,0,4345.59226875,17124.81710625,0,253.636,6518.8,58669
168,100002,18582.671646,0,4070.9664177,-615.508063700007,0,8982.67,6898.1,62083.1
169,100002,18583.271658,0,4070.9364171,1429.63192490001,0,9519.46,6639.89999999999,59758.8
170,100001,19155.091549,0,4042.29542255,1191.71302844999,0,13545.9,6206.6,55859.4
171,100001,19152.19152,0,4042.440424,920.868055999992,0,14516.6,6136.9,55232
172,100001,18697.086969,0,4065.19565155,979.617379449999,0,17409.9,5884.89999999999,52964.3
173,100001,18704.087039,0,4064.84564805,-2123.83268704999,0,17674.8,6168.1,55513
174,100002,18851.87703,0,4057.5061485,2268.51682149999,0,10230.5,6459.4,58134.2
175,100002,18846.576924,0,4057.7711538,796.351922200003,0,10777.8,6552.3,58971.2
176,100001,18949.389492,0,4052.5805254,-280.070017400001,0,15235.2,6204.4,55839.5
177,100001,18942.089419,0,4052.94552905,-1492.43494805,0,15382.5,6311.6,56804.3
178,100001,18574.785746,0,4071.3107127,-542.496458699992,0,17248.5,6064.9,54584
179,100001,18576.385762,0,4071.2307119,-727.616473899994,0,16662.9,6141.8,55276.3
180,100001,18575.685755,0,4071.26571225,1337.04853274999,0,19183.4,5683.4,51150.2
181,100001,18575.285751,0,4071.28571245,652.128536549993,0,18917.5,5778.5,52006.3
182,100001,18919.389192,0,4054.0805404,499.730267600004,0,13077.1,6345,57105.7
183,100001,18919.289191,0,4054.08554045,743.725268549999,0,12691.7,6359.2,57233
184,100001,18758.087579,0,4062.14562105,757.066799949986,0,14374.7,6204.9,55844.1
185,100001,18758.287581,0,4062.13562095,1061.87679805,0,14256,6186.3,55676.4
186,100003,16520.395597,0,4174.13022015,10315.66418285,0,2115.81,6687.7,60189.3
187,100003,16505.095138,0,4174.8952431,10832.5996189,0,1707.31,6678.3,60104.8
188,100001,18258.782586,0,4087.1108707,-397.493456700009,0,16799.7,6125.3,55127.6
189,100001,18255.582554,0,4087.2708723,890.446573699999,0,16179.7,6058.8,54529.2
190,100001,18588.585884,0,4070.6207058,-738.406589800004,0,14973.9,6310.60000000001,56795.7
191,100001,18588.685885,21.2381,4069.55380075,-952.477785750001,0,13997.6,6427.6,57848.8
192,100002,18748.274958,0,4062.6862521,931.208789900004,0,9448.13,6681.2,60130.5
193,100002,18747.974952,0,4062.7012524,-705.636204399983,0,9677.76,6821.89999999999,61397.3
194,100001,18224.282241,0,4088.83588795,-585.318128949999,0,16100.8,6217.2,55955.2
195,100001,18226.082259,0,4088.74588705,900.071853950008,0,15305.3,6148.10000000001,55332.7
196,100001,18216.382162,0,4089.2308919,-3.51305390001653,0,15844.6,6185.5,55668.8
197,100005,14904.045165,0,4255.04774175,10355.02409325,0,289.983,7020.09999999999,63180.8
198,100005,14897.244825,0,4255.38775875,12748.41841625,0,545.649,6755.8,60802.5
199,100004,16891.275624,0,4155.6362188,1115.34815719999,0,5568.44,7227.4,65045.9
200,100004,16898.67592,0,4155.266204,1270.14787599999,0,5721.91,7195.8,64762.2
201,100006,15710.9426,0,4214.75287,479.824529999998,0,4396.68,7520.40000000001,67683.4
202,100006,15698.541856,0,4215.3729072,-436.084763199993,0,4457.57,7607.10000000001,68463.5
203,100004,17217.988692,0,4139.3005654,297.750742599994,0,5458.46,7289,65601.5
204,100004,17223.788924,0,4139.0105538,-598.159477800014,0,5534.16,7370.5,66334.7
205,100002,18461.969232,0,4077.0015384,770.449229599995,0,7549.98,6914.3,62228.3
206,100002,18455.969112,0,4077.3015444,340.779343599992,0,8583.45,6854.4,61690.1
207,100001,18629.18629,0,4068.5906855,-452.076975499993,0,10021.9,6773.3,60960.1
208,100001,18630.286301,0,4068.53568495,-2032.02198595001,0,11054.2,6828,61452
209,100001,18467.984678,0,4076.6507661,-713.835444100012,0,16511.1,6165.9,55493.2
210,100001,18468.984688,0,4076.6007656,1547.9145464,0,16309.7,5959.8,53638
211,100001,18302.083019,0,4084.94584905,-2912.22886805001,0,15472.8,6505.4,58548
212,100001,18293.382932,0,4085.3808534,3291.23621460001,0,12577.6,6175.3,55578.1
213,100010,13727.57262,0,4314.121369,-1130.503989,0,4889.21,7820.90000000001,70388.7
214,100010,13722.17208,0,4314.391396,889.506523999982,0,4671.13,7641.3,68771.5
215,100003,17551.226521,0,4122.58867395,-822.395194950004,0,5695.28,7345.7,66110.6
216,100001,18329.483293,0,4083.57583535,-418.259128350008,0,11786.1,6622.00000000001,59598.1
