X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
157.46757,92.683043,0,192.9512427,0,0,62
-157.46757,92.683043,0,192.9512427,0,0,62
202.71897,258.888951,0,334.6079344,0,0,62
-202.71897,258.888951,0,334.6079344,0,0,62
115.591417,228.164664,0,263.1814765,0,0,62
-115.591417,228.164664,0,263.1814765,0,0,62
168.373558,348.934584,0,392.3633507,0,0,62
-168.373558,348.934584,0,392.3633507,0,0,62
107.436987,372.239563,0,392.36335,0,0,62
-107.436987,372.239563,0,392.36335,0,0,62
173.411756,129.47217,0,225.1192571,0,0,62
-173.411756,129.47217,0,225.1192571,0,0,62
166.197661,110.475974,0,208.9751262,0,0,62
-166.197661,110.475974,0,208.9751262,0,0,62
19.969475,254.993548,0,263.1814763,0,0,62
-19.969475,254.993548,0,263.1814763,0,0,62
128.175267,365.617422,0,392.3633499,0,0,62
-128.175267,365.617422,0,392.3633499,0,0,62
195.226848,230.194483,0,308.1347468,0,0,62
-195.226848,230.194483,0,308.1347468,0,0,62
85.542159,29.975586,0,109.8180164,0,0,62
-85.542159,29.975586,0,109.8180164,0,0,62
181.180366,151.373498,0,244.0988753,0,0,62
-181.180366,151.373498,0,244.0988753,0,0,62
163.565306,315.968752,0,361.1562841,0,0,62
-163.565306,315.968752,0,361.1562841,0,0,62
132.863466,77.488627,0,165.8348212,0,0,62
-132.863466,77.488627,0,165.8348212,0,0,62
181.887523,273.9259,0,334.6079343,0,0,62
-181.887523,273.9259,0,334.6079343,0,0,62
148.508857,357.840912,0,392.3633506,0,0,62
-148.508857,357.840912,0,392.3633506,0,0,62
203.963629,190.079584,0,285.6140932,0,0,62
-203.963629,190.079584,0,285.6140932,0,0,62
127.836966,60.353362,0,154.3658582,0,0,62
-127.836966,60.353362,0,154.3658582,0,0,62
176.65858,244.734077,0,308.134747,0,0,62
-176.65858,244.734077,0,308.134747,0,0,62
188.500647,205.423748,0,285.6140931,0,0,62
-188.500647,205.423748,0,285.6140931,0,0,62
171.886876,219.513808,0,285.6140929,0,0,62
-171.886876,219.513808,0,285.6140929,0,0,62
-159.945661,287.290542,0,334.6079347,0,0,62
159.945661,287.290542,0,334.6079347,0,0,62
108.228399,338.934323,0,361.1562843,0,0,62
-108.228399,338.934323,0,361.1562843,0,0,62
86.359495,377.686426,0,392.3633504,0,0,62
-86.359495,377.686426,0,392.3633504,0,0,62
137.444122,97.066227,0,179.3230021,0,0,62
-137.444122,97.066227,0,179.3230021,0,0,62
65.009338,381.940813,0,392.3633503,0,0,62
-65.009338,381.940813,0,392.3633503,0,0,62
158.24662,147.623464,0,225.119257,0,0,62
-158.24662,147.623464,0,225.119257,0,0,62
137.027336,298.901286,0,334.6079341,0,0,62
-137.027336,298.901286,0,334.6079341,0,0,62
43.453927,384.989292,0,392.3633504,0,0,62
-43.453927,384.989292,0,392.3633504,0,0,62
163.57872,170.241779,0,244.0988754,0,0,62
-163.57872,170.241779,0,244.0988754,0,0,62
157.011819,257.779578,0,308.1347467,0,0,62
-157.011819,257.779578,0,308.1347467,0,0,62
21.761317,386.822238,0,392.3633504,0,0,62
-21.761317,386.822238,0,392.3633504,0,0,62
0,387.433864,0,392.3633507,0,0,62
165.436009,195.067723,0,263.1814766,0,0,62
-165.436009,195.067723,0,263.1814766,0,0,62
113.272465,308.68725,0,334.6079342,0,0,62
-113.272465,308.68725,0,334.6079342,0,0,62
29.956597,354.53133,0,361.1562843,0,0,62
-29.956597,354.53133,0,361.1562843,0,0,62
136.406506,269.251346,0,308.1347468,0,0,62
